marca,modelo,ano,km,preco_eur,combustivel,transmissao,condicao,localizacao,data_anuncio,url,titulo,imagem_url,pagina_origem,recolhido_em
BMW,X5 3.0,2005.0,416000.0,6500.0,,,,Algueirão-Mem Martins,Para o topo hoje às 21:21,https://www.olx.pt/d/anuncio/bmw-x5-3-0-d-2005-IDJsrui.html?search_reason=search%7Corganic,BMW X5  3.0 D.2005,,1,2026-06-21 23:45
BMW,520 d,2024.0,110915.0,45900.0,,,,Trofa,Para o topo hoje às 17:35,https://www.standvirtual.com/carros/anuncio/bmw-520-d-pack-desportivo-m-auto-ID8Q0qzw.html,BMW 520 d Pack Desportivo M Auto,,1,2026-06-21 23:45
BMW,530 e,2023.0,63923.0,39990.0,,,,"Santa Iria De Azoia, São João Da Talha E Bobadela",Para o topo hoje às 16:02,https://www.standvirtual.com/carros/anuncio/bmw-530-e-pack-m-ID8PYpYU.html,BMW 530 e Pack M,,1,2026-06-21 23:45
BMW,X3 xDrive20d,2025.0,29275.0,70990.0,,,,Guia,Para o topo hoje às 21:55,https://www.standvirtual.com/carros/anuncio/bmw-x3-xdrive20d-aut-m-sport-ID8PZ5E1.html,BMW X3 xDrive20d Aut. M Sport,,1,2026-06-21 23:45
BMW,118D Pack,,,14999.0,,,,"Nogueira, Fraião E Lamaçães",Para o topo hoje às 22:35,https://www.olx.pt/d/anuncio/bmw-118d-pack-m-auto-full-extras-IDJsrM3.html?search_reason=search%7Corganic,Bmw 118D Pack M Auto Full Extras,,1,2026-06-21 23:45
BMW,e92 320d,2007.0,263000.0,11000.0,,,,Friande,Para o topo hoje às 23:12,https://www.olx.pt/d/anuncio/bmw-e92-320d-coupe-IDJk94d.html?search_reason=search%7Corganic,Bmw e92 320d coupe,,1,2026-06-21 23:45
BMW,125i PACK,2014.0,187000.0,19950.0,,,,Calheta (Madeira),Para o topo hoje às 23:18,https://www.olx.pt/d/anuncio/bmw-125i-pack-m-f20-IDJrBrf.html?search_reason=search%7Corganic,BMW 125i PACK M F20,,1,2026-06-21 23:45
BMW,Serie 1,2008.0,,14000.0,,,,Paços de Ferreira,Para o topo hoje às 20:37,https://www.olx.pt/d/anuncio/bmw-serie-1-coupe-IDJsFZZ.html?search_reason=search%7Corganic,Bmw Serie 1 Coupe,,1,2026-06-21 23:45
BMW,330e hibrido,2021.0,93000.0,23500.0,,,,Marvila,Para o topo hoje às 22:17,https://www.olx.pt/d/anuncio/bmw-330e-hibrido-plugin-292cv-IDJqGcw.html?search_reason=search%7Corganic,Bmw 330e  hibrido plugin 292cv,,1,2026-06-21 23:45
BMW,Série 2,2015.0,185000.0,20000.0,,,,Braga,Hoje às 22:28,https://www.olx.pt/d/anuncio/bmw-srie-2-220d-pack-m-sport-auto-IDJ8Iv2.html?search_reason=search%7Corganic,BMW Série 2 220d Pack M Sport AUTO,,1,2026-06-21 23:45
